B01_009855_2626_XN_82N094W B01_010106_2627_XN_82N094W
B02_010277_1651_XN_14S057W B03_010699_1651_XN_14S057W
B02_010279_2484_XI_68N125W B02_010569_2484_XI_68N125W
B02_010279_2484_XI_68N125W B17_016160_2484_XN_68N125W
B02_010290_1699_XN_10S053W B02_010435_1699_XN_10S053W
B02_010295_2167_XI_36N197W B02_010572_2166_XI_36N197W
B02_010324_2197_XN_39N268W B02_010390_2197_XN_39N268W
B02_010326_1560_XN_24S315W B02_010471_1560_XN_24S315W
B02_010346_1568_XN_23S140W B02_010491_1568_XN_23S140W
B02_010354_2163_XI_36N008W G02_019202_2163_XI_36N008W
B02_010397_2638_XN_83N124W B17_016173_2639_XN_83N125W
B02_010397_2638_XN_83N124W B17_016292_2639_XN_83N125W
B02_010400_2266_XI_46N183W B03_010901_2266_XI_46N183W
B02_010460_2055_XI_25N020W B18_016684_2055_XN_25N020W
B02_010507_2456_XN_65N231W G01_018656_2456_XN_65N231W
B02_010559_2168_XN_36N204W B16_016005_2168_XN_36N204W
B02_010569_2484_XI_68N125W B17_016437_2484_XN_68N125W
B02_010585_2254_XI_45N195W B16_016031_2253_XN_45N195W
B02_010594_2494_XN_69N086W G02_019033_2495_XN_69N086W
B03_010787_2533_XN_73N320W B03_010800_2533_XI_73N320W
B03_010861_2264_XI_46N171W G01_018786_2264_XN_46N171W
B03_010863_1718_XN_08S218W G05_020133_1718_XN_08S218W
B04_011284_2166_XI_36N198W B05_011561_2166_XI_36N198W
B04_011287_2163_XN_36N279W B05_011564_2163_XN_36N279W
B04_011314_1584_XN_21S290W B05_011591_1584_XN_21S290W
B04_011319_2099_XI_29N070W B05_011464_2099_XI_29N070W
B04_011325_1847_XN_04N233W B06_011958_1847_XN_04N233W
B04_011363_2167_XI_36N197W B05_011429_2167_XI_36N197W
B04_011365_1364_XN_43S239W B05_011642_1364_XN_43S239W
B04_011371_1729_XN_07S047W B05_011516_1729_XN_07S047W
B04_011372_1732_XI_06S075W B07_012295_1732_XN_06S075W
B04_011384_2183_XN_38N049W B05_011661_2183_XN_38N049W
B04_011385_1698_XN_10S069W B05_011451_1698_XN_10S069W
B04_011386_2064_XN_26N100W B05_011531_2063_XN_26N100W
B05_011417_1756_XI_04S222W B05_011562_1756_XI_04S222W
B05_011435_1253_XI_54S347W B05_011580_1253_XN_54S347W
B05_011435_1253_XI_54S347W G05_020217_1253_XN_54S347W
B05_011443_1380_XI_42S209W B05_011509_1380_XI_42S209W
B05_011443_1380_XI_42S209W G04_019935_1380_XN_42S209W
B05_011494_1536_XN_26S160W B05_011639_1536_XN_26S160W
B05_011499_2225_XI_42N309W B05_011565_2225_XI_42N309W
B05_011577_1459_XN_34S266W B05_011722_1459_XN_34S266W
B05_011582_1728_XN_07S048W B05_011648_1728_XN_07S048W
B05_011592_1594_XN_20S319W B05_011658_1594_XN_20S319W
B05_011607_1847_XI_04N013W B05_011673_1847_XI_04N013W
B05_011610_0938_XN_86S051W G14_023729_0938_XN_86S050W
B05_011631_2208_XI_40N311W B05_011776_2208_XI_40N311W
B05_011652_1495_XI_30S157W B06_011929_1495_XI_30S157W
B05_011661_1412_XN_38S040W B06_011938_1412_XN_38S040W
B05_011672_1394_XN_40S339W B06_011817_1394_XN_40S339W
B05_011683_1542_XN_25S282W B07_012395_1542_XN_25S282W
B05_011697_2212_XI_41N312W B06_011842_2212_XI_41N312W
B05_011700_1720_XI_08S028W B06_012056_1721_XI_07S028W
B05_011701_1792_XN_00S057W B07_012334_1792_XN_00S057W
B05_011715_1800_XN_00S080W B07_012203_1800_XN_00S080W
B05_011719_1854_XI_05N190W B07_012352_1854_XI_05N190W
B05_011732_1597_XI_20S181W B07_012365_1596_XI_20S181W
B05_011741_2004_XI_20N071W B07_012453_2003_XI_20N071W
B05_011746_2156_XI_35N212W B06_011812_2156_XI_35N212W
B05_011753_1446_XN_35S035W G05_020311_1446_XI_35S035W
B05_011754_1998_XI_19N067W B06_011820_1998_XI_19N067W
B05_011761_1485_XN_31S251W B06_011827_1485_XN_31S251W
B05_011767_1641_XN_15S057W B06_011833_1641_XN_15S057W
B05_011769_2075_XI_27N117W B06_011914_2075_XI_27N117W
B05_011772_1790_XN_01S196W B06_011917_1791_XN_00S196W
B05_011773_1462_XN_33S219W B06_011839_1462_XN_33S219W
B05_011780_1513_XN_28S050W B06_011846_1513_XN_28S050W
B05_011785_1875_XN_07N191W B06_011930_1875_XN_07N191W
B06_011806_1667_XI_13S042W B07_012439_1666_XN_13S042W
B06_011806_1667_XI_13S042W G05_020021_1666_XN_13S042W
B06_011819_1446_XN_35S035W G05_020311_1446_XI_35S035W
B06_011825_1895_XN_09N203W B08_012814_1895_XN_09N203W
B06_011842_0981_XN_81S283W G06_020677_0982_XN_81S283W
B06_011851_2267_XI_46N198W B06_011996_2267_XI_46N198W
B06_011863_1714_XN_08S159W B06_012008_1715_XN_08S159W
B06_011893_1635_XN_16S257W B07_012315_1635_XN_16S257W
B06_011912_1653_XI_14S055W B07_012268_1652_XI_14S055W
B06_011919_1400_XN_40S244W B06_011985_1400_XN_40S244W
B06_011937_1971_XN_17N023W B07_012214_1970_XN_17N023W
B06_011943_1653_XN_14S184W G09_021569_1653_XN_14S184W
B06_011948_1340_XN_46S314W B06_012014_1339_XN_46S314W
B06_011955_1416_XI_38S146W G06_020737_1416_XI_38S146W
B06_011958_1847_XN_04N233W B08_012670_1847_XN_04N233W
B06_011964_1544_XI_25S034W B08_012676_1543_XI_25S034W
B06_011966_1703_XN_09S091W B07_012467_1702_XN_09S091W
B06_011969_1427_XN_37S168W G06_020751_1426_XN_37S168W
B06_011995_1409_XN_39S158W B07_012496_1409_XN_39S158W
B06_012036_2125_XN_32N207W B07_012326_2125_XN_32N207W
B06_012054_2200_XI_40N339W B07_012199_2201_XI_40N339W
B06_012061_1424_XN_37S161W B07_012338_1425_XN_37S161W
B06_012061_1424_XN_37S161W B07_012483_1424_XN_37S161W
B07_012195_1750_XN_05S222W B07_012340_1750_XN_05S222W
B07_012202_1393_XI_40S050W B09_013046_1393_XN_40S050W
B07_012206_1389_XI_41S159W B07_012272_1389_XI_41S159W
B07_012206_1389_XI_41S159W B07_012351_1389_XN_41S159W
B07_012206_1389_XI_41S159W B08_012628_1389_XN_41S159W
B07_012222_1470_XI_33S238W B08_012723_1470_XN_33S238W
B07_012227_2042_XN_24N018W B07_012517_2042_XN_24N018W
B07_012234_1820_XN_02N211W B07_012511_1819_XN_01N211W
B07_012238_1316_XN_48S312W B07_012383_1317_XN_48S312W
B07_012239_1330_XN_47S340W B07_012516_1330_XN_47S340W
B07_012244_2012_XI_21N124W B07_012389_2012_XI_21N124W
B07_012249_1818_XI_01N258W B09_012961_1818_XI_01N258W
B07_012250_2141_XI_34N289W B08_012751_2140_XI_34N289W
B07_012256_0985_XN_81S063W B08_012625_0985_XI_81S063W
B07_012270_2032_XN_23N116W B07_012547_2032_XN_23N116W
B07_012281_1240_XN_56S043W B07_012360_1239_XN_56S043W
B07_012291_0980_XN_82S299W B07_012304_0980_XN_82S299W
B07_012300_1439_XI_36S205W G07_020871_1440_XN_36S205W
B07_012304_0980_XN_82S299W G07_020928_0980_XN_82S299W
B07_012305_1863_XN_06N348W B07_012371_1863_XN_06N348W
B07_012314_1450_XN_35S229W B07_012459_1450_XN_35S229W
B07_012317_2255_XI_45N321W B07_012462_2255_XI_45N321W
B07_012319_1115_XN_68S358W B07_012332_1115_XN_68S358W
B07_012319_1115_XN_68S358W G09_021589_1115_XN_68S358W
B07_012320_1531_XN_26S034W B07_012386_1531_XN_26S034W
B07_012322_0985_XI_81S063W B08_012625_0985_XI_81S063W
B07_012322_0985_XI_81S063W B08_012691_0985_XI_81S063W
B07_012326_2125_XN_32N207W B08_012748_2125_XN_32N207W
B07_012332_1115_XN_68S358W B08_012741_1115_XN_68S358W
B07_012332_1115_XN_68S358W G09_021589_1115_XN_68S358W
B07_012338_1425_XN_37S161W B07_012483_1424_XN_37S161W
B07_012351_1389_XN_41S159W B08_012628_1389_XN_41S159W
B07_012361_1687_XI_11S074W B08_012572_1687_XI_11S074W
B07_012363_2144_XN_34N135W B09_012996_2143_XN_34N135W
B07_012370_0982_XI_81S293W G08_021521_0983_XI_81S293W
B07_012370_0982_XI_81S293W G09_021732_0983_XI_81S293W
B07_012380_1424_XI_37S229W B08_012802_1423_XN_37S229W
B07_012390_1374_XI_42S141W G08_021528_1374_XI_42S141W
B07_012393_1457_XI_34S225W B11_013817_1457_XN_34S225W
B07_012417_1436_XI_36S159W B08_012839_1436_XN_36S159W
B07_012431_1423_XI_37S183W G06_020712_1423_XI_37S183W
B07_012435_2015_XN_21N298W B08_012725_2015_XN_21N298W
B07_012459_1450_XN_35S229W G06_020740_1449_XN_35S229W
B07_012461_1516_XN_28S283W B08_012883_1516_XN_28S283W
B07_012465_1559_XN_24S033W B10_013533_1560_XN_24S033W
B07_012467_0985_XN_81S063W B08_012625_0985_XI_81S063W
B07_012480_0985_XI_81S063W B08_012889_0985_XI_81S063W
B07_012480_0985_XI_81S063W B09_013100_0985_XI_81S063W
B07_012480_0985_XI_81S063W B09_013245_0985_XI_81S063W
B07_012480_0985_XI_81S063W B11_013812_0985_XI_81S063W
B07_012480_0985_XI_81S063W G11_022449_0985_XI_81S063W
B07_012486_1221_XN_57S241W B07_012552_1221_XN_57S241W
B07_012491_1172_XN_62S015W B08_012623_1172_XN_62S015W
B07_012491_1172_XN_62S015W B09_012992_1172_XN_62S015W
B07_012515_0982_XI_81S293W B09_013240_0983_XI_81S293W
B07_012515_0982_XI_81S293W B11_013807_0983_XI_81S293W
B07_012515_0982_XI_81S293W G08_021521_0983_XI_81S293W
B07_012515_0982_XI_81S293W G09_021877_0983_XI_81S293W
B07_012515_0982_XI_81S293W G10_022233_0983_XI_81S293W
B07_012521_1288_XN_51S114W B08_012745_1288_XN_51S114W
B07_012521_1906_XI_10N125W B09_013022_1905_XI_10N125W
B07_012546_1732_XN_06S086W G05_020194_1732_XN_06S086W
B07_012548_1977_XN_17N143W B09_013049_1977_XN_17N143W
B07_012549_1421_XN_37S167W B09_012971_1421_XI_37S167W
B08_012580_1856_XI_05N295W G09_021718_1856_XI_05N295W
B08_012581_0982_XI_81S293W B08_012594_0982_XI_81S293W
B08_012581_0982_XI_81S293W B11_013728_0983_XI_81S293W
B08_012581_0982_XI_81S293W B11_013807_0983_XI_81S293W
B08_012581_0982_XI_81S293W G08_021521_0983_XI_81S293W
B08_012581_0982_XI_81S293W G09_021587_0983_XI_81S293W
B08_012581_0982_XI_81S293W G09_021732_0983_XI_81S293W
B08_012581_0982_XI_81S293W G09_021877_0983_XI_81S293W
B08_012581_0982_XI_81S293W G10_022233_0983_XI_81S293W
B08_012581_0982_XI_81S293W G10_022299_0983_XI_81S293W
B08_012581_0982_XI_81S293W G11_022510_0982_XI_81S293W
B08_012602_1415_XI_38S171W B11_013881_1414_XN_38S171W
B08_012625_0985_XI_81S063W G12_022805_0985_XI_81S063W
B08_012636_1489_XN_31S021W B09_013137_1490_XN_31S021W
B08_012648_1814_XN_01N352W B08_012714_1814_XN_01N352W
B08_012665_1366_XN_43S091W B08_012731_1366_XN_43S091W
B08_012707_1443_XN_35S158W B09_013208_1443_XN_35S158W
B08_012712_1373_XI_42S294W G09_021560_1372_XI_42S294W
B08_012720_1023_XI_77S136W G09_021581_1023_XI_77S136W
B08_012722_1400_XN_40S206W B08_012867_1400_XN_40S206W
B08_012723_1065_XN_73S227W B08_012855_1065_XN_73S227W
B08_012727_1540_XN_26S345W B09_013149_1540_XN_26S345W
B08_012734_1266_XN_53S171W B08_012879_1266_XN_53S171W
B08_012738_1786_XN_01S289W B09_013094_1786_XN_01S289W
B08_012741_1115_XN_68S358W B10_013585_1115_XN_68S358W
B08_012747_1427_XN_37S170W B09_013024_1427_XN_37S170W
B08_012749_1438_XN_36S225W B12_014305_1438_XI_36S225W
B08_012754_1779_XN_02S005W B08_012820_1779_XN_02S005W
B08_012759_1358_XN_44S137W B08_012904_1358_XN_44S137W
B08_012762_1071_XN_72S213W B09_013171_1070_XN_73S213W
B08_012767_1322_XN_47S355W B08_012912_1322_XN_47S355W
B08_012782_1235_XN_56S043W B08_012848_1235_XN_56S043W
B08_012787_1653_XI_14S184W B10_013499_1653_XN_14S184W
B08_012787_1653_XI_14S184W B12_014277_1652_XI_14S184W
B08_012787_1653_XI_14S184W G09_021925_1653_XN_14S184W
B08_012791_1908_XN_10N297W B08_012857_1907_XN_10N297W
B08_012794_1874_XN_07N019W B08_012939_1874_XN_07N019W
B08_012795_1992_XN_19N047W B10_013639_1992_XN_19N047W
B08_012797_2076_XN_27N103W B08_012942_2076_XN_27N103W
B08_012799_1989_XN_18N157W B09_013076_1989_XN_18N157W
B08_012802_1423_XN_37S229W G12_023074_1424_XN_37S229W
B08_012807_1504_XN_29S008W B09_012952_1504_XN_29S008W
B08_012809_1725_XN_07S066W B09_012954_1725_XN_07S066W
B08_012809_1725_XN_07S066W B09_013310_1725_XN_07S066W
B08_012815_1081_XN_71S218W B09_013013_1081_XN_71S218W
B08_012818_1011_XN_78S291W B09_013055_1011_XN_78S291W
B08_012818_1559_XN_24S309W B09_013174_1559_XN_24S309W
B08_012836_0848_XN_84S294W B09_013087_0848_XN_84S294W
B08_012853_1483_XN_31S184W B10_013354_1483_XN_31S184W
B08_012871_0982_XN_81S293W B09_013240_0983_XI_81S293W
B08_012871_0982_XN_81S293W B11_013807_0983_XI_81S293W
B08_012871_0982_XN_81S293W G09_021877_0983_XI_81S293W
B08_012871_0982_XN_81S293W G10_022233_0983_XI_81S293W
B08_012871_1566_XN_23S316W B09_013016_1566_XN_23S317W
B08_012874_1449_XN_35S037W B09_013019_1449_XN_35S037W
B08_012876_0958_XN_84S057W B11_013825_0957_XN_84S057W
B08_012878_1481_XN_31S147W B09_013155_1481_XN_31S147W
B08_012883_2143_XN_34N291W B09_013160_2143_XN_34N291W
B08_012887_1064_XN_73S020W B09_013177_1064_XN_73S020W
B08_012889_0985_XI_81S063W G10_022040_0985_XI_81S063W
B08_012889_0985_XI_81S063W G10_022251_0985_XI_81S063W
B08_012893_1775_XN_02S200W B10_013605_1776_XN_02S200W
B08_012897_1684_XN_11S308W B09_013319_1684_XN_11S308W
B08_012907_1747_XN_05S222W B10_013540_1747_XN_05S222W
B08_012918_1451_XI_34S158W B09_013340_1451_XN_34S158W
B08_012925_1221_XN_57S347W B09_013202_1221_XN_57S347W
B08_012925_1221_XN_57S347W G11_022551_1221_XI_57S347W
B08_012926_1363_XN_43S016W B09_013071_1363_XN_43S016W
B08_012928_1709_XI_09S074W B10_013640_1709_XN_09S074W
B08_012934_1073_XN_72S225W B09_013066_1073_XN_72S225W
B08_012935_1414_XN_38S263W B09_013212_1414_XN_38S263W
B08_012937_0983_XI_81S293W B09_012950_0983_XI_81S293W
B08_012939_0981_XN_81S355W G12_023013_0980_XN_82S355W
B09_012947_1738_XN_06S234W G11_022441_1738_XN_06S234W
B09_012949_1581_XN_21S287W B09_013226_1581_XN_21S287W
B09_012950_0983_XI_81S293W B10_013504_0983_XI_81S293W
B09_012959_1894_XN_09N204W B09_013104_1894_XN_09N204W
B09_012973_1441_XI_35S221W G09_021821_1441_XI_35S221W
B09_012981_0983_XI_81S063W B09_013034_0983_XN_81S063W
B09_012985_2022_XN_22N195W B09_013130_2022_XN_22N195W
B09_012991_1338_XN_46S350W B10_013624_1338_XN_46S350W
B09_012991_1338_XN_46S350W G11_022406_1338_XN_46S350W
B09_012991_1338_XN_46S350W G12_022973_1338_XN_46S350W
B09_012993_1727_XN_07S049W B09_013059_1727_XN_07S049W
B09_013000_1396_XI_40S237W G09_021848_1396_XI_40S237W
B09_013000_1396_XI_40S237W G11_022415_1396_XI_40S237W
B09_013001_1413_XN_38S262W B09_013146_1413_XN_38S262W
B09_013010_1024_XI_77S136W G08_021515_1023_XI_77S136W
B09_013023_2041_XN_24N153W B09_013089_2041_XN_24N153W
B09_013029_1235_XN_56S305W B09_013306_1235_XN_56S305W
B09_013034_0983_XN_81S063W B11_013759_0983_XI_81S063W
B09_013041_1218_XN_58S273W B09_013120_1218_XN_58S273W
B09_013045_1020_XN_78S014W B11_013955_1020_XN_78S014W
B09_013054_1898_XN_09N276W B09_013199_1898_XN_09N276W
B09_013067_0935_XN_86S202W B09_013119_0935_XN_86S202W
B09_013070_1207_XI_59S343W G12_023065_1207_XN_59S343W
B09_013084_2061_XN_26N018W B10_013361_2061_XN_26N018W
B09_013092_1077_XN_72S221W B09_013290_1077_XN_72S221W
B09_013092_1630_XN_17S231W B10_013514_1630_XN_17S231W
B09_013097_1115_XN_68S358W B10_013585_1115_XN_68S358W
B09_013097_1115_XN_68S358W G09_021589_1115_XN_68S358W
B09_013100_0985_XI_81S063W G10_022040_0985_XI_81S063W
B09_013100_0985_XI_81S063W G10_022251_0985_XI_81S063W
B09_013110_1326_XN_47S355W B10_013611_1326_XN_47S355W
B09_013119_0935_XN_86S202W B09_013133_0935_XN_86S202W
B09_013119_0935_XN_86S202W B09_013278_0935_XN_86S202W
B09_013125_1519_XN_28S051W B11_013758_1518_XN_28S051W
B09_013128_1970_XI_17N139W B09_013339_1970_XI_17N139W
B09_013130_1352_XN_44S185W B10_013631_1351_XN_44S185W
B09_013152_1984_XN_18N074W B09_013297_1984_XN_18N074W
B09_013153_1394_XN_40S093W B09_013298_1394_XN_40S093W
B09_013161_0983_XI_81S293W G09_021574_0983_XI_81S293W
B09_013165_1278_XN_52S058W B09_013244_1278_XN_52S058W
B09_013186_1947_XN_14N281W B09_013252_1947_XN_14N281W
B09_013205_1792_XN_00S076W G09_021565_1792_XN_00S076W
B09_013211_1675_XN_12S241W B10_013633_1675_XN_12S241W
B09_013213_1707_XN_09S295W B10_013635_1707_XN_09S295W
B09_013218_1745_XI_05S072W B10_013363_1745_XI_05S072W
B09_013230_1447_XN_35S037W B11_014074_1447_XN_35S037W
B09_013235_1445_XI_35S173W G11_022650_1445_XI_35S173W
B09_013238_1947_XN_14N261W B11_013871_1947_XN_14N261W
B09_013239_1780_XI_02S286W B11_013740_1780_XI_02S286W
B09_013240_0983_XI_81S293W B09_013293_0983_XI_81S293W
B09_013240_0983_XI_81S293W B10_013504_0983_XI_81S293W
B09_013240_0983_XI_81S293W B10_013649_0983_XI_81S293W
B09_013240_0983_XI_81S293W B11_013794_0983_XI_81S293W
B09_013240_0983_XI_81S293W G08_021508_0983_XI_81S293W
B09_013240_0983_XI_81S293W G09_021653_0983_XI_81S293W
B09_013240_0983_XI_81S293W G10_022141_0983_XI_81S293W
B09_013240_0983_XI_81S293W G10_022220_0983_XI_81S293W
B09_013240_0983_XI_81S293W G11_022431_0983_XI_81S293W
B09_013240_0983_XI_81S293W G12_022998_0982_XN_81S293W
B09_013245_0985_XI_81S063W G10_022040_0985_XI_81S063W
B09_013245_0985_XI_81S063W G10_022251_0985_XI_81S063W
B09_013255_1156_XI_64S352W B11_014112_1156_XI_64S352W
B09_013256_1886_XI_08N032W G10_022104_1886_XN_08N032W
B09_013263_1753_XN_04S221W B10_013685_1753_XN_04S221W
B09_013271_1816_XN_01N081W B10_013693_1816_XN_01N081W
B09_013276_1101_XN_69S206W G09_021623_1101_XN_69S206W
B09_013280_1128_XI_67S316W B12_014124_1128_XI_67S316W
B09_013282_0981_XN_81S355W G12_023013_0980_XN_82S355W
B09_013284_1709_XI_09S074W B10_013640_1709_XN_09S074W
B09_013292_1857_XI_05N295W B10_013714_1857_XI_05N295W
B09_013292_1857_XI_05N295W B11_014070_1857_XI_05N295W
B09_013293_0983_XI_81S293W B11_013807_0983_XI_81S293W
B09_013293_0983_XI_81S293W G08_021521_0983_XI_81S293W
B09_013293_0983_XI_81S293W G09_021732_0983_XI_81S293W
B09_013293_0983_XI_81S293W G10_022233_0983_XI_81S293W
B09_013300_1815_XI_01N152W B10_013722_1815_XI_01N152W
B09_013308_1810_XI_01N010W B10_013664_1810_XI_01N010W
B09_013309_0933_XN_86S344W G10_022064_0932_XN_86S344W
B09_013327_1510_XN_29S166W B11_013960_1510_XN_29S166W
B09_013328_1411_XI_38S191W B11_013974_1411_XI_38S191W
B09_013329_1071_XN_72S212W B10_013527_1071_XN_72S212W
B09_013334_1322_XN_47S354W B11_013967_1322_XN_47S354W
B09_013337_1847_XI_04N084W B10_013482_1847_XI_04N084W
B10_013347_1816_XI_01N357W B12_014336_1816_XI_01N357W
B10_013363_1297_XN_50S065W B11_014009_1297_XN_50S065W
B10_013453_1077_XN_72S356W G09_021536_1077_XN_72S356W
B10_013453_1077_XN_72S356W G12_022789_1077_XN_72S356W
B10_013454_0966_XI_83S013W B11_013784_0966_XI_83S012W
B10_013454_0966_XI_83S013W B11_014074_0966_XI_83S013W
B10_013454_1559_XN_24S034W B10_013599_1559_XN_24S034W
B10_013456_1346_XI_45S085W B11_013944_1346_XN_45S085W
B10_013485_1534_XN_26S160W B11_013907_1533_XN_26S160W
B10_013494_1723_XN_07S048W B11_013995_1723_XN_07S048W
B10_013497_1759_XI_04S130W B12_014130_1758_XI_04S130W
B10_013498_1371_XI_42S152W B10_013643_1370_XI_43S152W
B10_013499_1653_XN_14S184W B11_013921_1652_XN_14S184W
B10_013499_1653_XN_14S184W G11_022347_1653_XI_14S184W
B10_013504_0983_XI_81S293W B11_013807_0983_XI_81S293W
B10_013504_0983_XI_81S293W G08_021521_0983_XI_81S293W
B10_013504_0983_XI_81S293W G09_021732_0983_XI_81S293W
B10_013504_0983_XI_81S293W G10_022233_0983_XI_81S293W
B10_013504_0983_XI_81S293W G11_022510_0982_XI_81S293W
B10_013510_1333_XI_46S120W B10_013576_1333_XI_46S120W
B10_013511_1399_XI_40S147W B11_013933_1399_XI_40S147W
B10_013516_1520_XN_28S285W B10_013661_1520_XN_28S285W
B10_013526_1897_XN_09N203W B10_013671_1897_XN_09N203W
B10_013531_1327_XI_47S333W G09_021812_1327_XI_47S333W
B10_013533_1560_XN_24S033W G07_020891_1560_XN_24S033W
B10_013544_1998_XN_19N336W B10_013610_1998_XN_19N336W
B10_013547_1653_XN_14S054W B10_013613_1652_XN_14S054W
B10_013547_1653_XN_14S054W B11_014048_1653_XN_14S054W
B10_013561_1704_XN_09S076W B11_013983_1704_XN_09S076W
B10_013564_1328_XN_47S153W B10_013709_1328_XN_47S153W
B10_013567_2036_XN_23N245W G09_021571_2036_XN_23N245W
B10_013584_1330_XN_47S339W G10_022300_1330_XN_47S339W
B10_013601_0985_XI_81S063W G10_022040_0985_XI_81S063W
B10_013612_0948_XN_85S348W B11_013783_0948_XN_85S348W
B10_013619_0990_XN_81S208W B10_013672_0990_XN_81S208W
B10_013624_1338_XN_46S350W G09_021773_1338_XN_46S350W
B10_013624_1338_XN_46S350W G12_022762_1338_XN_46S350W
B10_013649_0983_XI_81S293W B11_013807_0983_XI_81S293W
B10_013649_0983_XI_81S293W G08_021521_0983_XI_81S293W
B10_013649_0983_XI_81S293W G09_021877_0983_XI_81S293W
B10_013649_0983_XI_81S293W G10_022233_0983_XI_81S293W
B10_013649_1596_XI_20S317W B11_013794_1596_XI_20S317W
B10_013650_1233_XN_56S339W B11_013927_1233_XN_56S339W
B10_013651_2042_XN_24N017W B12_014284_2042_XN_24N018W
B10_013660_1473_XN_32S256W B11_013950_1473_XN_32S256W
B10_013663_1316_XN_48S336W B11_014085_1316_XN_48S336W
B10_013683_1365_XI_43S164W B11_013828_1365_XN_43S164W
B10_013684_1457_XI_34S191W G12_022743_1457_XI_34S191W
B10_013698_1845_XI_04N220W B11_013764_1845_XI_04N220W
B10_013699_1057_XN_74S229W B11_013923_1057_XN_74S229W
B10_013717_1790_XN_01S017W B11_013862_1790_XN_01S017W
B11_013726_1473_XN_32S256W B11_013871_1473_XN_32S256W
B11_013734_1356_XI_44S115W G11_022582_1356_XI_44S115W
B11_013747_0955_XN_84S078W G12_022977_0955_XN_84S078W
B11_013749_1412_XN_38S164W B11_013894_1412_XN_38S164W
B11_013749_1412_XN_38S164W G11_022676_1412_XN_38S164W
B11_013772_1795_XN_00S077W G12_022910_1795_XN_00S077W
B11_013774_1408_XI_39S127W B11_013919_1408_XI_39S127W
B11_013783_0948_XN_85S348W B11_014100_0948_XN_85S348W
B11_013783_0948_XN_85S348W G12_022816_0948_XN_85S348W
B11_013787_1776_XI_02S130W B11_013853_1776_XI_02S130W
B11_013791_1072_XN_72S226W B12_014134_1072_XN_72S226W
B11_013794_0983_XI_81S293W B11_013807_0983_XI_81S293W
B11_013794_0983_XI_81S293W G10_022233_0983_XI_81S293W
B11_013807_0983_XI_81S293W G09_021574_0983_XI_81S293W
B11_013807_0983_XI_81S293W G09_021653_0983_XI_81S293W
B11_013807_0983_XI_81S293W G10_022141_0983_XI_81S293W
B11_013807_0983_XI_81S293W G10_022220_0983_XI_81S293W
B11_013807_0983_XI_81S293W G10_022286_0983_XI_81S293W
B11_013807_0983_XI_81S293W G11_022431_0983_XI_81S293W
B11_013807_0983_XI_81S293W G11_022642_0983_XI_81S293W
B11_013807_0983_XI_81S293W G12_022998_0982_XN_81S293W
B11_013807_2037_XI_23N319W B11_013873_2037_XI_23N319W
B11_013810_0933_XN_86S343W G10_022064_0932_XN_86S344W
B11_013812_0985_XI_81S063W G10_022040_0985_XI_81S063W
B11_013812_0985_XI_81S063W G10_022251_0985_XI_81S063W
B11_013813_0955_XN_84S078W G09_021909_0955_XN_84S078W
B11_013813_0955_XN_84S078W G12_022977_0955_XN_84S078W
B11_013820_0936_XN_86S261W G10_022260_0936_XN_86S261W
